,stockNumber,year,make,model,body,trim,features,exteriorColor,vehicleSize,types
0,21622960,2017,Infiniti,Q50,4D Sedan,Premium,"['Power Windows', 'Sunroof(s)', 'Power Locks', 'CD Audio', 'Auxiliary Audio Input', 'Cruise Control', 'Alloy Wheels', 'Leatherette Seats', 'Side Airbags', 'Heated Steering Wheel', 'Remote Start', 'Rear View Camera', 'Turbo Charged Engine', 'Smart Key', 'Navigation System', 'Traction Control', 'Power Mirrors', 'AM/FM Stereo', 'Air Conditioning', 'Satellite Radio Ready', 'Front Seat Heaters', 'ABS Brakes', 'Memory Seat(s)', 'Automatic Transmission', 'Rear Defroster', 'Bluetooth Technology', 'Overhead Airbags', 'Power Seat(s)', 'SiriusXM Trial Available', 'Premium Sound']",Black,Full-size,"['Luxury Vehicles', 'Sedans']"
1,21237713,2016,BMW,320 Series,4D Sedan,I,"['Power Locks', 'Power Mirrors', 'AM/FM Stereo', 'Cruise Control', 'Side Airbags', 'Rear Defroster', 'ABS Brakes', 'Satellite Radio Ready', 'Turbo Charged Engine', 'Leatherette Seats', 'Smart Key', 'Bluetooth Technology', 'CD Audio', 'Auxiliary Audio Input', 'Traction Control', 'Power Windows', 'Alloy Wheels', 'Run Flat Tires', 'Overhead Airbags', 'Air Conditioning', 'Automatic Transmission', 'SiriusXM Trial Available']",Black,Mid-size,"['Luxury Vehicles', 'Sedans']"
2,21324281,2015,Hyundai,Santa Fe,4D Sport Utility,GLS,"['Power Locks', 'Power Windows', 'CD Audio', 'Auxiliary Audio Input', 'ABS Brakes', 'Leather Seats', 'Automatic Transmission', 'Rear Defroster', 'Power Mirrors', 'Premium Package', 'Satellite Radio Ready', 'Tow Hitch', 'Alloy Wheels', 'Smart Key', 'Side Airbags', 'Power Hatch/Deck Lid', 'Bluetooth Technology', 'Traction Control', 'AM/FM Stereo', 'Air Conditioning', 'Third Row Seat', 'Rear Air Conditioning', 'Overhead Airbags', 'Rear View Camera', 'Blind Spot Monitor', 'Rear Sunshade', 'Cruise Control', 'Front Seat Heaters', 'Power Seat(s)', 'Fold-Away Third Row', 'SiriusXM Trial Available']",Silver,Mid-size,"['Crossovers', 'Sport Utilities']"
3,21294865,2021,Kia,Telluride,4D Sport Utility,LX,"['Power Locks', 'ABS Brakes', 'Power Mirrors', 'Rear View Camera', 'Power Seat(s)', 'Bluetooth Technology', 'Auxiliary Audio Input', 'Blind Spot Monitor', 'Power Windows', 'Android Auto', 'Parking Sensors', 'Smart Key', 'Apple CarPlay', 'Automated Cruise Control', 'Traction Control', 'Air Conditioning', 'Lane Departure Warning', 'Automatic Transmission', 'Alloy Wheels', 'Side Airbags', 'Rear Defroster', 'Overhead Airbags', 'Leatherette Seats', 'Rear Air Conditioning', 'AM/FM Stereo', 'Fold-Away Third Row', 'Remote Start', 'Third Row Seat', 'SiriusXM Trial Available']",Red,,['Sport Utilities']
4,21080066,2018,Jeep,Wrangler,4D Sport Utility,All-New Unlimited Rubicon,"['AM/FM Stereo', 'Air Conditioning', 'Power Windows', 'Rear Defroster', 'Cruise Control', 'Bluetooth Technology', 'Traction Control', 'Power Locks', 'Hard Top', 'Automatic Transmission', 'ABS Brakes', '4WD/AWD', 'Power Mirrors', 'Auxiliary Audio Input', 'Navigation System', 'Satellite Radio Ready', 'Remote Start', 'Tow Hitch', 'Side Airbags', 'Running Boards', 'Alloy Wheels', 'SiriusXM Trial Available', 'Leather Seats', 'Apple CarPlay', 'Rear View Camera', 'Blind Spot Monitor']",Black,Compact,['Sport Utilities']
5,21687791,2020,BMW,330,4D Sedan,I,"['Air Conditioning', 'Power Locks', 'Auxiliary Audio Input', 'Cruise Control', 'Power Seat(s)', 'AM/FM Stereo', 'Leatherette Seats', 'Side Airbags', 'Parking Sensors', 'Automatic Transmission', 'Rear Defroster', 'Traction Control', 'Lane Departure Warning', 'ABS Brakes', 'Sunroof(s)', 'Rear View Camera', 'Memory Seat(s)', 'Bluetooth Technology', 'Run Flat Tires', 'Navigation System', 'Blind Spot Monitor', 'Power Windows', 'Apple CarPlay', 'Turbo Charged Engine', 'Overhead Airbags', 'Power Mirrors', 'Alloy Wheels']",White,Mid-size,"['Luxury Vehicles', 'Sedans']"
6,21447334,2016,Jeep,Grand Cherokee,4D Sport Utility,Limited,"['Navigation System', 'Leather Seats', 'Overhead Airbags', 'Alloy Wheels', 'Rear Defroster', 'Front Seat Heaters', 'AM/FM Stereo', 'Traction Control', 'Air Conditioning', 'Memory Seat(s)', 'Bluetooth Technology', 'Parking Sensors', 'Power Windows', 'Rear Seat Heaters', 'Remote Start', 'Power Locks', 'Auxiliary Audio Input', 'Automatic Transmission', 'Full Roof Rack', '20 Inch Plus Wheels', 'Power Mirrors', 'Rear View Camera', 'Power Hatch/Deck Lid', 'Satellite Radio Ready', 'ABS Brakes', 'Tow Hitch', 'Power Seat(s)', 'Smart Key', 'Side Airbags', 'Heated Steering Wheel', 'Cruise Control', 'SiriusXM Trial Available', '4WD/AWD']",Black,Mid-size,['Sport Utilities']
7,21431108,2021,Toyota,Highlander,4D Sport Utility,XSE,"['Power Windows', 'Sunroof(s)', 'Power Locks', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Rear Air Conditioning', 'Automatic Transmission', 'Power Seat(s)', 'Third Row Seat', 'Air Conditioning', 'Power Mirrors', 'Side Airbags', '20 Inch Plus Wheels', 'Rear View Camera', 'Alloy Wheels', 'Bluetooth Technology', 'Blind Spot Monitor', 'Leatherette & Cloth', 'Fold-Away Third Row', 'Traction Control', 'Lane Departure Warning', 'Apple CarPlay', 'Smart Key', 'Android Auto', 'Remote Start', 'Rear Defroster', 'Automated Cruise Control', 'ABS Brakes', 'Satellite Radio Ready', 'Navigation System', 'Overhead Airbags', 'Quad Seats', 'Power Hatch/Deck Lid', 'Rear Sunshade', 'SiriusXM Trial Available', 'Premium Sound']",Gray,Mid-size,"['Crossovers', 'Sport Utilities']"
8,21295401,2021,Jeep,Wrangler,4D Sport Utility,Unlimited Rubicon,"['Rear Defroster', 'Power Windows', 'ABS Brakes', 'Power Locks', 'Rear View Camera', 'Cloth Seats', 'Side Airbags', 'Bluetooth Technology', 'Traction Control', 'Air Conditioning', 'Cruise Control', 'AM/FM Stereo', 'Power Mirrors', '4WD/AWD', 'Automatic Transmission', 'Alloy Wheels', 'SiriusXM Trial Available', 'Auxiliary Audio Input', 'Navigation System', 'Running Boards', 'Satellite Radio Ready', 'Apple CarPlay', 'Hard Top', 'Smart Key', 'Android Auto', 'Premium Sound']",White,Compact,['Sport Utilities']
9,21201177,2019,Nissan,Pathfinder,4D Sport Utility,S,"['Alloy Wheels', 'Parking Sensors', 'Rear Defroster', 'Power Locks', 'ABS Brakes', 'Traction Control', 'Satellite Radio Ready', 'Power Mirrors', 'Air Conditioning', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Bluetooth Technology', 'Fold-Away Third Row', 'Third Row Seat', 'Full Roof Rack', 'Rear Air Conditioning', 'CD Audio', 'Automatic Transmission', 'Side Airbags', 'Rear View Camera', 'Overhead Airbags', 'Remote Start', 'Power Windows', 'Cruise Control', 'Cloth Seats', 'SiriusXM Trial Available']",White,Mid-size,['Sport Utilities']
